"star1","imdb_rating","meta_score"
"Philip Seymour Hoffman","7.7",81
"Danny Elfman","8.0",82
"Predrag 'Miki' Manojlovic","8.1",76
"Don Taylor","8.0",84
"Meryl Streep","7.8",77
"Woody Allen","7.7",76
"Derek Jacobi","8.0",88
"Gregory Peck","8.0",78
"John Cassavetes","7.7",73
"Anthony Hopkins","7.9",76
"Gene Hackman","7.8",85
"Javier Bardem","8.1",91
"Vincent D'Onofrio","8.3",76
"Eddie Murphy","7.8",84
"Charles Chaplin","8.3",76
"Benno Fürmann","7.7",70
"Bobby Cannavale","7.6",81
"Gary Oldman","7.7",76
"Josh O'Connor","7.7",85
"Per Ragnar","7.9",82
"Faye Dunaway","8.1",83
"Anthony Quinn","8.3",100
"Nicole Kidman","8.0",60
"Rhonda Fleming","8.0",76
"Shûichirô Moriyama","7.7",83
"Orlando Bloom","8.0",63
"James Earl Jones","8.5",88
"Tesshô Genda","8.0",76
"Judith O'Dea","7.9",89
"Bruce Willis","7.8",84
"Jessica Biel","7.6",68
"Mads Mikkelsen","7.8",81
"Daniel Mays","8.3",78
"Paul Benjamin","7.6",81
"Jaden Smith","8.0",64
"Orson Welles","8.0",99
"Michel Piccoli","7.7",76
"Barbara Hershey","7.9",90
"Kôichi Yamadera","7.9",76
"F. Murray Abraham","8.3",88
"Yukito Nishii","8.1",71
"Lorraine Bracco","8.7",90
"Charlton Heston","8.1",90
"Mete Horozoglu","8.0",76
"Thelma Ritter","8.4",100
"Julie Hagerty","7.7",78
"John C. Reilly","7.7",72
"Karl Malden","8.1",91
"Mary Kay Bergman","7.7",73
"Takashi Shimura","8.3",76
"Keira Knightley","7.8",82
"Lloyd Avery II","7.8",76
"Leon Lai","7.7",71
"James Stewart","7.9",76
"Uma Thurman","8.0",83
"Roscoe Ates","7.9",80
"Sean Penn","7.9",84
"Claudia Cardinale","8.0",91
"Tessa Mitchell","7.8",68
"Nozomu Sasaki","8.0",76
"Fionnula Flanagan","8.1",85
"Dustin Hoffman","7.9",84
"Joaquin Phoenix","8.0",90
"Markéta Irglová","7.8",88
"Meryl Streep","7.6",69
"Carrie Fisher","8.3",58
"André Berley","8.1",76
"Margaret Sullavan","8.1",96
"Christopher Walken","8.1",75
"Miyu Irino","8.6",96
"Arno Frisch","7.6",69
"Joan Greenwood","8.0",76
"Johnny Depp","7.8",70
"Caleb Landry Jones","8.2",88
"Eijirô Tôno","8.2",76
"Viggo Mortensen","8.2",69
"Tony Chiu-Wai Leung","7.8",76
"Felicity Jones","7.7",72
"Mark Hamill","8.7",82
"Choi Min-sik","7.8",67
"Daniel Day-Lewis","7.9",97
"Nawazuddin Siddiqui","8.1",76
"Tim Allen","7.8",84
"Thomas Turgoose","7.7",86
"Allen Leech","8.0",73
"Sela Ward","7.8",87
"Lucas Hedges","7.8",96
"Frantz Turner","8.0",82
"Molly Ringwald","7.8",66
"Ulrich Mühe","8.4",89
"William Sylvester","8.3",84
"Tom Hanks","8.6",91
"Raphael Fejtö","8.0",88
"Kerry Washington","8.4",81
"Bibi Andersson","8.1",86
"Hümeyra","8.3",76
"Gina Torres","7.8",74
"Emma Watson","7.7",81
"Mark Ruffalo","8.2",63
"Jack Reynor","7.9",79
"Marion Cotillard","7.6",45
"Hrithik Roshan","8.1",76
"Emilio Estevez","7.8",66
